CustomerID,Monetary,TimeSpent,PC1,PC2
12347.0,2540.29,420,1.305188019428167,0.8374878673637776
12348.0,367.0,1,-0.6858383692265673,-0.4015472030706619
12350.0,334.4,1,-0.6914784165681511,-0.395907155729078
12352.0,456.0799999999999,66,-0.4198850934086783,-0.16641695898211573
12355.0,459.4,1,-0.6698524681725074,-0.4175331041247217
12356.0,481.46,1,-0.6660359207996442,-0.42134965149758485
12357.0,6207.67,1,0.3246418549013068,-1.4120274271985356
12358.0,1168.06,116,-0.10398272076559091,-0.09687047015871464
12359.0,3404.48,292,0.9613249035033125,0.1946018979344216
12362.0,2135.79,213,0.437327307184233,0.10959029313644916
12363.0,299.1,1,-0.6975855843950809,-0.3897999879021482
12364.0,310.32,1,-0.695644439267088,-0.39174113303014124
12367.0,168.9,1,-0.7201111722439834,-0.36727440005324574
12370.0,938.39,1,-0.5869835639962725,-0.5004020083009566
12371.0,1527.96,1,-0.48498348083131526,-0.6024020914659138
12372.0,515.7,1,-0.6601121410151095,-0.4272734312821196
12373.0,364.6,1,-0.6862535874357636,-0.4011319848614655
12375.0,228.22,152,-0.12782058135894922,0.2044905706905154
12378.0,4008.62,1,-0.05581047965421538,-1.0315750926430136
12380.0,607.5500000000001,1,-0.6442213941339905,-0.4431641781632386
12381.0,1845.31,211,0.3793630860351706,0.15213655982685204
12383.0,750.61,117,-0.17235024941301766,-0.020793964281958056
12384.0,585.27,33,-0.5247323675067538,-0.3159659334519227
12386.0,401.9,293,0.44571027104764244,0.717925507619421
12388.0,334.95000000000005,63,-0.45240496828598753,-0.15702401579279587
12393.0,884.1,89,-0.25718114781295864,-0.1518144283032507
12394.0,1272.48,34,-0.40198533491632654,-0.43100398881302027
12395.0,1759.68,632,1.987288153120135,1.7896909062897206
12397.0,1195.09,1,-0.5425725163709786,-0.5448130559262505
12399.0,820.6,93,-0.25274917513928613,-0.12541049205960414
12401.0,84.3,1,-0.734747614118155,-0.3526379581790741
12406.0,1486.7,1,-0.4921217738777493,-0.5952637984194799
12407.0,719.06,1,-0.6249293180892047,-0.4624562542080244
12408.0,1352.45,176,0.15918746511168402,0.10249797772379657
12409.0,6207.08,1,0.3245397804248793,-1.411925352722108
12410.0,681.0799999999999,214,0.18950592867388322,0.3651206488761287
12413.0,609.5,235,0.2580663064925643,0.45844879287337265
12414.0,319.61,123,-0.22378958779320787,0.07689923747421067
12415.0,43977.36,269,7.8920877385071755,-6.913467413344023
12417.0,1502.18,222,0.36239836741250653,0.2539000279721434
12420.0,600.39,1,-0.645460128458093,-0.4419254438391361
12422.0,147.7,1,-0.7237789330918846,-0.3636066392053446
12423.0,538.72,249,0.29978367007832346,0.5246571104982304
12427.0,586.08,577,1.5722495750165466,1.7807357367801713
12428.0,6518.41,309,1.5655847258537898,-0.27860531151744933
12429.0,1281.5,1,-0.527622930764038,-0.5597626415331911
12431.0,3032.05,695,2.450250599525344,1.8123940253322874
12433.0,9033.92,607,3.1494246486137305,0.4348299800628811
12436.0,509.01,1,-0.6612695617732444,-0.42611601052398473
12437.0,2040.81,301,0.7600900446457969,0.465217551855905
12441.0,173.55,1,-0.7193066869636654,-0.3680788853335637
12442.0,172.06,1,-0.7195644682685415,-0.3678211040286876
12444.0,1636.08,63,-0.22729960639779645,-0.3821293776809868
12447.0,476.49,1,-0.666895768507855,-0.42048980378937406
12449.0,2724.58,212,0.5353379558165366,0.0038706672748157894
12450.0,96.0,1,-0.7327234253483228,-0.35466214694890635
12451.0,4927.87,4,0.11479021069134315,-1.1790488513005826
12455.0,477.46,93,-0.31211499859913555,-0.06604466859975475
12461.0,826.88,58,-0.38656978900516,-0.2614040812202723
12462.0,717.33,52,-0.42864970186709134,-0.2655780317343195
12463.0,344.57,1,-0.6897189294066816,-0.39766664289054754
12464.0,213.9,1,-0.7123258308215517,-0.3750597414756775
12468.0,508.9500000000001,1,-0.6612799422284743,-0.42610563006875485
12471.0,9867.74,666,3.5210966632090033,0.5179876219980644
12472.0,1611.4,606,1.8614178841139992,1.7151277673332816
12473.0,636.19,278,0.42842688942459206,0.6195742308025248
12474.0,1045.94,542,1.5169017425370415,1.5662693662331348
12476.0,169.29999999999998,126,-0.23823089237600686,0.11446747374499892
12477.0,3317.81,304,0.9925841992996876,0.2558503288900038
12478.0,680.99,1,-0.6315157169325819,-0.45586985536464714
12480.0,1952.93,132,0.09347756200735824,-0.1709871172623873
12481.0,2064.77,292,0.72954490890229,0.426381892535444
12483.0,1107.61,268,0.471441240019338,0.49947010791448115
12484.0,1970.79,122,0.05802259136747897,-0.21262191891580573
12489.0,334.93,1,-0.6913867225469535,-0.39599884975027555
12490.0,2463.06,205,0.4631115913184524,0.022134191167591622
12491.0,460.4,1,-0.6696794605853423,-0.4177061117118868
12492.0,136.82,1,-0.7256612556402414,-0.3617243166569878
12494.0,181.97,237,0.19180934998117763,0.5401237038434188
12500.0,693.48,211,0.1800877569107364,0.35141188895128617
