CustomerID,Monetary,TimeSpent
12347.0,2540.29,420
12348.0,367.0,1
12350.0,334.4,1
12352.0,456.0799999999999,66
12355.0,459.4,1
12356.0,481.46000000000004,1
12357.0,6207.67,1
12358.0,1168.06,116
12359.0,3404.48,292
12362.0,2135.79,213
12363.0,299.1,1
12364.0,310.32,1
12367.0,168.9,1
12370.0,938.39,1
12371.0,1527.96,1
12372.0,515.7,1
12373.0,364.6,1
12375.0,228.22,152
12378.0,4008.62,1
12379.0,-1.95,1
12380.0,607.5500000000001,1
12381.0,1845.31,211
12383.0,750.61,117
12384.0,585.27,33
12386.0,401.9,293
12388.0,334.95000000000005,63
12393.0,884.1,89
12394.0,1272.48,34
12395.0,1759.68,632
12397.0,1195.09,1
12399.0,820.6,93
12401.0,84.3,1
12406.0,1486.7,1
12407.0,719.06,1
12408.0,1352.45,176
12409.0,6207.08,1
12410.0,681.0799999999999,214
12413.0,609.5,235
12414.0,319.61,123
12415.0,43977.36,269
12417.0,1502.18,222
12420.0,600.39,1
12422.0,147.7,1
12423.0,538.72,249
12427.0,586.08,577
12428.0,6518.41,309
12429.0,1281.5,1
12431.0,3032.05,695
12433.0,9033.92,607
12434.0,-13.2,1
12436.0,509.01,1
12437.0,2040.81,301
12441.0,173.55,1
12442.0,172.06,1
12444.0,1636.08,63
12447.0,476.49,1
12449.0,2724.58,212
12450.0,96.0,1
12451.0,4927.87,4
12455.0,477.46000000000004,93
12457.0,-24.200000000000003,304
12461.0,826.88,58
12462.0,717.33,52
12463.0,344.57,1
12464.0,213.89999999999998,1
12465.0,-8.3,1
12468.0,508.95000000000005,1
12471.0,9867.74,666
12472.0,1611.4,606
12473.0,636.19,278
12474.0,1045.94,542
12476.0,169.29999999999998,126
12477.0,3317.81,304
12478.0,680.99,1
12479.0,-49.9,30
12480.0,1952.93,132
12481.0,2064.77,292
12483.0,1107.6100000000001,268
12484.0,1970.79,122
12489.0,334.93,1
12490.0,2463.06,205
12491.0,460.40000000000003,1
12492.0,136.82,1
12494.0,181.97,237
12500.0,693.48,211
12501.0,2169.39,1
12502.0,3021.07,94
12503.0,-1126.0,1
12504.0,449.4,1
12505.0,-4.5,1
12507.0,0.0,1
12508.0,275.19,1
12512.0,138.03,1
12516.0,583.2,1
12517.0,2047.69,277
12518.0,1207.16,89
12519.0,340.84,1
12520.0,987.42,1
12523.0,354.5,331
12524.0,2962.6,268
12526.0,797.38,94
12528.0,552.64,23
12530.0,1244.68,132
12532.0,349.83000000000004,1
12534.0,1089.18,1
12535.0,716.35,94
12536.0,4106.82,271
12538.0,363.95,1
12539.0,1715.85,1
12540.0,5047.38,302
12541.0,757.44,191
12544.0,355.7,213
12546.0,-20.0,1
12547.0,159.4,1
12552.0,120.0,1
12553.0,1356.57,331
12556.0,312.9,1
12557.0,8183.46,598
12558.0,1.0658141036401503e-14,180
12559.0,50.10000000000001,1
12560.0,697.7,1
12561.0,238.85,1
12562.0,1304.3700000000001,115
12565.0,-14.75,1
12567.0,4357.27,450
12569.0,2534.95,339
12571.0,248.35,1
12572.0,487.68,1
12576.0,1076.6299999999999,113
12577.0,399.51,1
12578.0,-7.6499999999999995,1
12580.0,415.7,1
12583.0,5093.2699999999995,697
12584.0,742.99,93
12585.0,-56.04,1
12586.0,-17.0,1
12587.0,144.0,1
12589.0,515.1800000000001,1
12590.0,9861.38,302
12592.0,437.6,56
12593.0,321.8,85
12594.0,850.83,239
12596.0,269.95,1
12597.0,784.57,57
12598.0,1179.92,308
12599.0,636.3,183
12600.0,884.02,608
12601.0,325.46,240
12602.0,153.12,1
12605.0,-7.5,1
12607.0,3.552713678800501e-15,61
12609.0,512.8,1
12610.0,935.2,183
12613.0,-125.4,1
12614.0,315.6,1
12615.0,1079.8,123
12616.0,449.75,125
12617.0,355.53,1
12619.0,449.16,186
12621.0,3368.99,448
12623.0,305.1,1
12625.0,897.7,277
12626.0,2380.61,186
12627.0,2441.14,122
12628.0,786.46,30
12633.0,411.08,305
12635.0,1689.18,94
12637.0,3630.15,182
12638.0,671.69,1
12643.0,3094.14,240
12644.0,477.91,1
12645.0,874.12,153
12646.0,615.28,1
12647.0,2260.07,545
12648.0,318.05,1
12649.0,355.2,418
12650.0,314.44,1
12651.0,114.0,1
12652.0,919.98,1
12654.0,171.23000000000002,1
12656.0,-68.45,119
12659.0,91.68,1
12662.0,1585.51,607
12664.0,2276.8,331
12665.0,-1.25,1
12667.0,620.13,1
12668.0,-63.97,80
12669.0,471.43,217
12670.0,1273.54,244
12673.0,389.62,1
12674.0,975.46,240
12676.0,800.15,217
12678.0,2073.52,32
12679.0,857.33,341
12680.0,361.83,57
12681.0,5368.29,483
12682.0,7288.08,636
12683.0,4089.02,449
12684.0,916.26,235
12685.0,2019.54,125
12686.0,89.14,1
12689.0,511.03,1
12691.0,479.5,28
12693.0,444.06,240
12694.0,439.5,1
12695.0,248.2,57
12697.0,223.68,1
12700.0,4867.99,174
12701.0,337.08,1
12703.0,-8.850000000000001,1
12704.0,1040.85,57
12705.0,2312.62,118
12708.0,731.42,508
12709.0,3833.87,485
12710.0,411.61,91
12712.0,2595.38,628
12713.0,848.55,1
12716.0,375.59000000000003,1
12717.0,980.98,95
12719.0,608.1,211
12720.0,3023.37,573
12721.0,1999.48,359
12722.0,302.92,1
12723.0,376.69,32
12724.0,363.14,202
12725.0,427.8,1
12726.0,1363.9,97
12727.0,1903.54,67
12728.0,252.54,1
12731.0,2688.7,389
12735.0,319.77,1
12736.0,234.0,1
12738.0,155.35,1
12739.0,975.54,1
12740.0,427.6,1
12744.0,2118.74,29
12747.0,2226.18,425
12748.0,13876.93,692
12749.0,3392.51,303
12750.0,275.88,1
12753.0,12670.39,263
12754.0,0.0,92
12755.0,2203.2,294
12757.0,2867.1,272
12758.0,1570.19,1
12759.0,444.8,1
12762.0,1436.93,1
12763.0,320.08,1
12766.0,2554.2000000000003,385
12772.0,892.47,1
12775.0,599.45,62
12778.0,255.93,58
12779.0,2219.24,417
12781.0,219.97,186
12782.0,194.65,10
12783.0,622.84,1
12785.0,305.71,272
12787.0,186.56,1
12789.0,91.85,1
12791.0,192.60000000000002,1
12793.0,545.48,537
12794.0,317.0,1
12797.0,254.03,1
12802.0,412.58,92
12808.0,483.65000000000003,420
12816.0,253.55,1
12817.0,166.04,1
12820.0,210.35000000000002,1
12821.0,92.72,1
12823.0,229.5,1
12824.0,397.12,1
12826.0,577.1,394
12827.0,212.4,89
12828.0,907.51,184
12829.0,207.25,1
12830.0,2258.56,210
12832.0,383.03,151
12834.0,312.38,1
12836.0,2161.73,312
12838.0,683.13,515
12839.0,2195.86,420
12840.0,1284.2,183
12841.0,2021.85,634
12842.0,310.73,1
12843.0,1282.36,213
12844.0,325.96000000000004,276
12849.0,346.39,1
12851.0,135.18,1
12853.0,-5.95,1
12854.0,401.82,1
12855.0,38.1,1
12856.0,866.46,272
12857.0,801.6,1
12865.0,981.38,1
12866.0,559.12,1
12867.0,1111.24,149
12868.0,1176.3400000000001,688
12870.0,-14.899999999999999,1
12872.0,378.53000000000003,1
12873.0,374.0,1
12875.0,293.76000000000005,1
12877.0,376.56,184
12879.0,140.5,1
12881.0,298.0,1
12882.0,471.84000000000003,1
12883.0,291.63,1
12884.0,309.05,1
12885.0,1158.27,120
12886.0,1351.09,209
12888.0,41.010000000000005,244
12891.0,289.0,123
12893.0,188.14,1
12897.0,128.8,1
12901.0,1244.28,302
12908.0,-114.0,1
12909.0,-14.850000000000001,1
12910.0,1286.6200000000001,176
12912.0,804.24,180
12913.0,1401.49,507
12915.0,199.65,1
12917.0,594.0,1
12919.0,676.82,329
12921.0,7300.7300000000005,692
12922.0,405.38,1
12923.0,176.97,1
12924.0,508.23,97
12925.0,325.74,1
12928.0,980.26,236
12929.0,105.1,249
12931.0,34133.56,246
12933.0,109.5,1
12935.0,343.78,1
12939.0,6397.92,146
12942.0,258.75,1
12943.0,-3.75,1
12944.0,317.56,1
12947.0,930.22,632
12948.0,660.6700000000001,66
12949.0,3000.87,249
12950.0,1531.4,180
12951.0,467.48,111
12952.0,292.78000000000003,182
12955.0,2505.06,212
12956.0,108.07,1
12957.0,961.7,88
12962.0,95.85000000000001,1
12963.0,630.45,122
12965.0,771.91,1
12967.0,902.25,569
12970.0,428.44,1
12971.0,3877.92,656
12976.0,738.6,1
12977.0,39.239999999999995,1
12980.0,3869.8500000000004,300
12981.0,185.04,1
12982.0,390.54,1
12985.0,1215.6200000000001,90
12987.0,-13.7,1
12989.0,2900.11,423
12990.0,409.5,189
12993.0,197.1,1
12994.0,621.82,180
12997.0,307.92,1
12999.0,320.28000000000003,1
13000.0,201.75,1
13001.0,3717.6800000000003,120
13003.0,89.05000000000001,63
13004.0,2348.59,236
13005.0,276.9,30
13011.0,50.550000000000004,1
13012.0,325.02,214
13013.0,3995.2400000000002,634
13014.0,1407.58,215
13015.0,979.37,121
13016.0,425.25,1
13017.0,204.0,1
13018.0,2111.45,219
13021.0,920.85,415
13023.0,689.9,122
13026.0,975.36,182
13027.0,1536.0,60
13028.0,-1.6400000000000001,1
13029.0,474.29999999999995,1
13030.0,427.74,1
13032.0,-13.66,1
13034.0,165.86,1
13037.0,326.9,1
13038.0,196.66,1
13040.0,676.99,150
13043.0,516.42,1
13045.0,305.28000000000003,1
13046.0,431.59,1
13047.0,1596.27,576
13049.0,502.90000000000003,1
13050.0,1870.82,447
13052.0,348.15000000000003,1
13055.0,332.40999999999997,116
13058.0,137.70000000000002,33
13059.0,183.4,1
13062.0,346.98,1
13064.0,639.03,63
13065.0,205.86,1
13066.0,151.81,1
13069.0,2741.74,575
13075.0,919.61,1
13077.0,465.55,365
13078.0,4538.07,485
13079.0,65.7,119
13081.0,17758.61,577
13082.0,1747.54,7
13083.0,111.36,1
13085.0,137.98000000000002,1
13089.0,27475.6,571
13090.0,4085.29,545
13091.0,345.82,1
13092.0,151.0,154
